市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
43100,熊本県熊本市,37,池上中央公園,熊本県熊本市西区池上町４８４－１外,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.789091,130.676509,
43100,熊本県熊本市,38,池田１丁目西児童游園,熊本県熊本市西区池田1-19,,,1.0,1.0,1.0,1.0,1.0,1.0,,32.821846,130.70283,
43100,熊本県熊本市,39,池田小学校,熊本県熊本市西区池田1-28-5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.825171,130.704221,
43100,熊本県熊本市,40,中島中央公園,熊本県熊本市西区中島３８３－３外,,1.0,,1.0,,1.0,1.0,1.0,,32.76686,130.627417,
43100,熊本県熊本市,41,中島小学校,熊本県熊本市西区中島町538,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,32.76667,130.628934,
43100,熊本県熊本市,42,ゆめマート田崎,熊本県熊本市西区田崎2-5-1,,1.0,,1.0,1.0,1.0,1.0,1.0,,32.783763,130.679855,
43100,熊本県熊本市,43,ゆめマート島崎,熊本県熊本市西区島崎2-12-1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.808731,130.692175,
43100,熊本県熊本市,44,市立千原台高校,熊本県熊本市西区島崎2-37-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.80685386,130.6865109,
43100,熊本県熊本市,45,城西小学校,熊本県熊本市西区島崎3-12-60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.80565366,130.6827819,
43100,熊本県熊本市,46,石神山公園,熊本県熊本市西区島崎3-56,,,1.0,1.0,1.0,1.0,1.0,1.0,,32.810786,130.680077,
43100,熊本県熊本市,47,古荘公園,熊本県熊本市西区島崎5-15,,,1.0,1.0,1.0,1.0,1.0,1.0,,32.813785,130.680424,
43100,熊本県熊本市,48,古町小学校,熊本県熊本市西区二本木4-9-65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.782321,130.689592,
43100,熊本県熊本市,49,花陵中学校,熊本県熊本市西区八島2-14-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.779347,130.678545,
43100,熊本県熊本市,50,蓮台寺公園,熊本県熊本市西区蓮台寺4-14-55,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.77566202,130.683822,
43100,熊本県熊本市,51,白坪小学校,熊本県熊本市西区蓮台寺4-4-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.777815,130.684143,
